isolate.assembly,isolate.id,coamox.mic,coamox.mic_numeric,location_category
198,OXEC-198,8.2,8.2,Both
534,OXEC-534,16.2,16.2,Both
199,OXEC-199,8.2,8.2,Both
511,OXEC-511,16.2,16.2,Both
158,OXEC-158,>32.2,32.2,Both
541,OXEC-541,16.2,16.2,Both
270,OXEC-270,8.2,8.2,Both
514,OXEC-514,>32.2,32.2,Both
8,OXEC-8,8.2,8.2,Both
272,OXEC-272,>32.2,32.2,Both
200,OXEC-200,8.2,8.2,Not detected
504,OXEC-504,8.2,8.2,Both
412,OXEC-412,>32.2,32.2,Both
157,OXEC-157,>32.2,32.2,Both
413,OXEC-413,16.2,16.2,Both
201,OXEC-201,8.2,8.2,Both
358,OXEC-358,<=2.2,2.2,Both
156,OXEC-156,32.2,32.2,Both
515,OXEC-515,8.2,8.2,Both
535,OXEC-535,8.2,8.2,Both
202,OXEC-202,>32.2,32.2,Not detected
506,OXEC-506,16.2,16.2,Both
517,OXEC-517,16.2,16.2,Both
507,OXEC-507,8.2,8.2,Both
203,OXEC-203,8.2,8.2,Both
204,OXEC-204,8.2,8.2,Both
205,OXEC-205,16.2,16.2,Plasmid only
414,OXEC-414,8.2,8.2,Both
415,OXEC-415,8.2,8.2,Both
273,OXEC-273,>32.2,32.2,Both
416,OXEC-416,16.2,16.2,Both
451,OXEC-451,32.2,32.2,Both
311,OXEC-311,32.2,32.2,Both
536,OXEC-536,8.2,8.2,Both
542,OXEC-542,16.2,16.2,Both
417,OXEC-417,8.2,8.2,Both
274,OXEC-274,8.2,8.2,Both
208,OXEC-208,8.2,8.2,Both
275,OXEC-275,32.2,32.2,Both
276,OXEC-276,32.2,32.2,Not detected
454,OXEC-454,8.2,8.2,Both
277,OXEC-277,16.2,16.2,Not detected
419,OXEC-419,32.2,32.2,Not detected
455,OXEC-455,4.2,4.2,Both
420,OXEC-420,>32.2,32.2,Not detected
211,OXEC-211,16.2,16.2,Both
529,OXEC-529,>32.2,32.2,Both
422,OXEC-422,4.2,4.2,Both
421,OXEC-421,4.2,4.2,Both
456,OXEC-456,16.2,16.2,Both
537,OXEC-537,>32.2,32.2,Not detected
213,OXEC-213,>32.2,32.2,Both
423,OXEC-423,<=2.2,2.2,Both
151,OXEC-151,4.2,4.2,Both
522,OXEC-522,>32.2,32.2,Not detected
518,OXEC-518,>32.2,32.2,Not detected
525,OXEC-525,>32.2,32.2,Both
457,OXEC-457,>32.2,32.2,Plasmid only
214,OXEC-214,>32.2,32.2,Not detected
543,OXEC-543,8.2,8.2,Both
149,OXEC-149,8.2,8.2,Both
148,OXEC-148,8.2,8.2,Both
313,OXEC-313,16.2,16.2,Both
216,OXEC-216,>32.2,32.2,Not detected
532,OXEC-532,>32.2,32.2,Both
145,OXEC-145,8.2,8.2,Both
459,OXEC-459,8.2,8.2,Both
363,OXEC-363,>32.2,32.2,Not detected
460,OXEC-460,>32.2,32.2,Not detected
144,OXEC-144,16.2,16.2,Both
143,OXEC-143,8.2,8.2,Both
485,OXEC-485,>32.2,32.2,Both
279,OXEC-279,8.2,8.2,Both
461,OXEC-461,8.2,8.2,Both
217,OXEC-217,16.2,16.2,Not detected
462,OXEC-462,16.2,16.2,Both
424,OXEC-424,16.2,16.2,Both
280,OXEC-280,8.2,8.2,Both
490,OXEC-490,>32.2,32.2,Both
463,OXEC-463,8.2,8.2,Both
425,OXEC-425,16.2,16.2,Both
142,OXEC-142,16.2,16.2,Both
479,OXEC-479,8.2,8.2,Both
281,OXEC-281,>32.2,32.2,Not detected
464,OXEC-464,8.2,8.2,Both
426,OXEC-426,8.2,8.2,Both
282,OXEC-282,8.2,8.2,Both
427,OXEC-427,16.2,16.2,Both
283,OXEC-283,8.2,8.2,Both
466,OXEC-466,16.2,16.2,Both
220,OXEC-220,8.2,8.2,Both
137,OXEC-137,>32.2,32.2,Not detected
138,OXEC-138,16.2,16.2,Both
139,OXEC-139,8.2,8.2,Both
140,OXEC-140,8.2,8.2,Both
120,OXEC-120,>32.2,32.2,Not detected
468,OXEC-468,>32.2,32.2,Both
495,OXEC-495,>32.2,32.2,Plasmid only
136,OXEC-136,8.2,8.2,Both
469,OXEC-469,16.2,16.2,Both
135,OXEC-135,16.2,16.2,Plasmid only
482,OXEC-482,32.2,32.2,Both
470,OXEC-470,16.2,16.2,Both
471,OXEC-471,32.2,32.2,Both
284,OXEC-284,8.2,8.2,Both
285,OXEC-285,>32.2,32.2,Both
134,OXEC-134,16.2,16.2,Both
488,OXEC-488,16.2,16.2,Both
486,OXEC-486,16.2,16.2,Both
286,OXEC-286,4.2,4.2,Both
287,OXEC-287,4.2,4.2,Both
133,OXEC-133,8.2,8.2,Both
288,OXEC-288,8.2,8.2,Both
116,OXEC-116,>32.2,32.2,Plasmid only
429,OXEC-429,>32.2,32.2,Both
223,OXEC-223,16.2,16.2,Both
448,OXEC-448,16.2,16.2,Plasmid only
132,OXEC-132,8.2,8.2,Both
365,OXEC-365,32.2,32.2,Both
366,OXEC-366,16.2,16.2,Both
314,OXEC-314,>32.2,32.2,Both
131,OXEC-131,4.2,4.2,Both
292,OXEC-292,16.2,16.2,Both
129,OXEC-129,8.2,8.2,Both
315,OXEC-315,>32.2,32.2,Not detected
236,OXEC-236,16.2,16.2,Both
127,OXEC-127,>32.2,32.2,Both
128,OXEC-128,8.2,8.2,Both
224,OXEC-224,8.2,8.2,Both
316,OXEC-316,8.2,8.2,Both
225,OXEC-225,8.2,8.2,Both
430,OXEC-430,8.2,8.2,Both
294,OXEC-294,8.2,8.2,Both
126,OXEC-126,8.2,8.2,Both
125,OXEC-125,16.2,16.2,Both
115,OXEC-115,8.2,8.2,Both
433,OXEC-433,32.2,32.2,Both
434,OXEC-434,4.2,4.2,Both
435,OXEC-435,8.2,8.2,Both
436,OXEC-436,32.2,32.2,Both
544,OXEC-544,16.2,16.2,Both
295,OXEC-295,8.2,8.2,Both
373,OXEC-373,4.2,4.2,Both
502,OXEC-502,8.2,8.2,Both
503,OXEC-503,8.2,8.2,Both
227,OXEC-227,>32.2,32.2,Both
124,OXEC-124,8.2,8.2,Both
438,OXEC-438,8.2,8.2,Both
440,OXEC-440,>32.2,32.2,Both
439,OXEC-439,>32.2,32.2,Both
123,OXEC-123,8.2,8.2,Both
122,OXEC-122,16.2,16.2,Not detected
375,OXEC-375,16.2,16.2,Both
229,OXEC-229,32.2,32.2,Both
442,OXEC-442,>32.2,32.2,Plasmid only
230,OXEC-230,8.2,8.2,Both
233,OXEC-233,>32.2,32.2,Both
443,OXEC-443,>32.2,32.2,Not detected
444,OXEC-444,16.2,16.2,Both
445,OXEC-445,8.2,8.2,Both
446,OXEC-446,8.2,8.2,Both
159,OXEC-159,16.2,16.2,Both
155,OXEC-155,8.2,8.2,Both
267,OXEC-267,8.2,8.2,Both
18,OXEC-18,8.2,8.2,Both
90,OXEC-90,16.2,16.2,Both
83,OXEC-83,>32.2,32.2,Both
82,OXEC-82,16.2,16.2,Not detected
394,OXEC-394,16.2,16.2,Both
60,OXEC-60,>32.2,32.2,Both
88,OXEC-88,32.2,32.2,Both
72,OXEC-72,>32.2,32.2,Both
65,OXEC-65,16.2,16.2,Both
57,OXEC-57,>32.2,32.2,Both
179,OXEC-179,>32.2,32.2,Not detected
447,OXEC-447,>32.2,32.2,Both
219,OXEC-219,8.2,8.2,Both
222,OXEC-222,8.2,8.2,Both
89,OXEC-89,8.2,8.2,Both
76,OXEC-76,8.2,8.2,Both
69,OXEC-69,>32.2,32.2,Both
121,OXEC-121,16.2,16.2,Both
40,OXEC-40,8.2,8.2,Both
472,OXEC-472,8.2,8.2,Both
302,OXEC-302,4.2,4.2,Both
63,OXEC-63,>32.2,32.2,Not detected
58,OXEC-58,32.2,32.2,Both
38,OXEC-38,>32.2,32.2,Plasmid only
25,OXEC-25,32.2,32.2,Both
187,OXEC-187,32.2,32.2,Both
334,OXEC-334,8.2,8.2,Both
33,OXEC-33,8.2,8.2,Both
